study,model,format,mean,std,count
study_2,binary_deepseek_0,binary_elaborated,0.3744070242747433,,1
study_2,binary_deepseek_0,binary_simple,0.3710363834535177,,1
study_2,binary_gpt_4_0,binary_elaborated,0.38075531262474666,,1
study_2,binary_gpt_4_0,binary_simple,0.3801894839357938,,1
study_2,binary_gpt_4o_0,binary_elaborated,0.3946841037385192,,1
study_2,binary_gpt_4o_0,binary_simple,0.4079079822711248,,1
study_2,binary_llama_0,binary_elaborated,0.37381067957649977,,1
study_2,binary_llama_0,binary_simple,0.36870214410975166,,1
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_elaborated,0.32154184814116904,,1
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_simple,0.3261008220853627,,1
study_3,binary_deepseek,binary_elaborated,0.3664618707286399,,1
study_3,binary_deepseek,binary_simple,0.35372912784612304,,1
study_3,binary_gpt_4,binary_elaborated,0.3695621210049219,,1
study_3,binary_gpt_4,binary_simple,0.3584366060853824,,1
study_3,binary_gpt_4o,binary_elaborated,0.3751544081139738,,1
study_3,binary_gpt_4o,binary_simple,0.3701588282233028,,1
study_3,binary_llama,binary_elaborated,0.3521768209719882,,1
study_3,binary_llama,binary_simple,0.34756167080960876,,1
study_3,binary_openai_gpt_3.5_turbo_0125,binary_elaborated,0.2636718808824969,,1
study_3,binary_openai_gpt_3.5_turbo_0125,binary_simple,0.26856064296334414,,1
