study,model,format,cutoff_type,n_participants,avg_correlation,E_correlation,E_p_value,A_correlation,A_p_value,C_correlation,C_p_value,N_correlation,N_p_value,O_correlation,O_p_value
study_2,binary_llama_0,binary_simple,median,438,0.36870214410975166,0.48340250601293056,4.9671791811339486e-27,0.12277026566559651,0.010117582922287373,0.32550994552277634,2.86778402194717e-12,0.7026492011605318,1.9595358491734e-66,0.2091788021869233,1.0138182301036922e-05
study_2,binary_gpt_4o_0,binary_simple,median,438,0.4079079822711248,0.5006061107415859,3.683842744497715e-29,0.2196384541674583,3.4783703181713363e-06,0.37032728239061546,1.1017261570870701e-15,0.7190929603815286,6.399621979689156e-71,0.22987510367443537,1.1594213046833875e-06
study_2,binary_deepseek_0,binary_simple,median,438,0.3710363834535177,0.48464050332582365,3.522426382250766e-27,0.17405213829662877,0.0002520114835957306,0.31481062206856186,1.5638780923765097e-11,0.7256296496189977,8.559058544966125e-73,0.15604900395757626,0.0010505543874687422
study_2,binary_gpt_4_0,binary_simple,median,438,0.3801894839357938,0.48823237470655284,1.2891514858886833e-27,0.15363234397016717,0.0012585549495961596,0.32764600717239956,2.0274810657647518e-12,0.719628062455555,4.516249463147472e-71,0.21180863137429437,7.785968570773804e-06
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_simple,median,438,0.3261008220853627,0.492562993409614,3.7763432369215766e-28,0.14475137675723734,0.0023912496393365392,0.34179877765859124,1.901181631577021e-13,0.4976179435135922,8.809535031502775e-29,0.1537730190877786,0.0012454777972750594
study_2,binary_llama_0,binary_elaborated,median,438,0.37381067957649977,0.4856991801714846,2.62247708242498e-27,0.16333877038468425,0.0005997377397061313,0.31924620061437425,7.80469534368472e-12,0.7054070980320892,3.643239327170526e-67,0.19536214867986645,3.8437461753927634e-05
study_2,binary_gpt_4o_0,binary_elaborated,median,438,0.3946841037385192,0.4951243411195095,1.8117255939204194e-28,0.18326230874032987,0.00011471638945700152,0.3521129404517147,3.1347073422395607e-14,0.7255305570501234,9.146087977171152e-73,0.21739037133091854,4.397155390313086e-06
study_2,binary_deepseek_0,binary_elaborated,median,438,0.3744070242747433,0.48919242410214603,9.834391078057518e-28,0.16501964223628857,0.0005252504860996683,0.31288515601347794,2.1070943979727122e-11,0.7169409834209791,2.5786151153748932e-70,0.18799691560082482,7.53929309953859e-05
study_2,binary_gpt_4_0,binary_elaborated,median,438,0.38075531262474666,0.49063168874430685,6.543562304725517e-28,0.1718905421194981,0.0003014428191079774,0.3267681209541374,2.3387817594898506e-12,0.7178815595627633,1.4045925645199841e-70,0.19660465174302755,3.4222409496205464e-05
study_2,binary_openai_gpt_3.5_turbo_0125_0,binary_elaborated,median,438,0.32154184814116904,0.4838874091258911,4.342266789515309e-27,0.0909948967920658,0.05705497854918309,0.35618827485606097,1.5096819822972748e-14,0.5025984493443331,2.050010910258599e-29,0.17404021058749422,0.0002522621388378135
study_3,binary_gpt_4,binary_simple,median,200,0.3584366060853824,0.4132956100321758,1.1841534241686383e-09,0.09880187396694201,0.16394680577525256,0.33049735106355455,1.7561199793829643e-06,0.7369926699563791,1.5871067635973492e-35,0.21259552540786075,0.002508323832262418
study_3,binary_openai_gpt_3.5_turbo_0125,binary_simple,median,200,0.26856064296334414,0.38867462333256586,1.289554937455151e-08,0.08724206622031892,0.2192971272897303,0.23612761175640445,0.000762265857587273,0.4446673014719742,4.21118801048879e-11,0.1860916120354575,0.008331715699283522
study_3,binary_gpt_4o,binary_simple,median,200,0.3701588282233028,0.4164051705471304,8.63644636058766e-10,0.09503081014586218,0.18071850083006546,0.34751589041623066,4.610786137508276e-07,0.7438459264932443,1.701251895136314e-36,0.2479963435140466,0.0003990851644510933
study_3,binary_llama,binary_simple,median,200,0.34756167080960876,0.416304812735142,8.7253101283688e-10,0.052688365616079105,0.45871139048849985,0.3500213336697502,3.761221924065665e-07,0.695419114510438,3.1154151349790663e-30,0.22337472751663445,0.0014754674407927051
study_3,binary_deepseek,binary_simple,median,200,0.35372912784612304,0.41208822116455224,1.3373786919642003e-09,0.10364450382255898,0.14415175807928554,0.3003550775663324,1.551590965354375e-05,0.7321872982320878,7.290437491301812e-35,0.22037053844508384,0.001714945378253214
study_3,binary_gpt_4,binary_elaborated,median,200,0.3695621210049219,0.412193758054274,1.3232548836919248e-09,0.14017056791653748,0.047740575496204814,0.3517392561448261,3.2676804263440316e-07,0.7129779245479367,2.3601897246693645e-32,0.23072909836103517,0.001012556717322356
study_3,binary_openai_gpt_3.5_turbo_0125,binary_elaborated,median,200,0.2636718808824969,0.412215747559767,1.320330285119604e-09,0.11294307788185344,0.11130746841405383,0.28474946226975284,4.376512099531498e-05,0.40926614133822803,1.7740191692945502e-09,0.09918497536288297,0.16231037417966876
study_3,binary_gpt_4o,binary_elaborated,median,200,0.3751544081139738,0.41114145326230894,1.470777617282208e-09,0.14107443179310813,0.04630912793723101,0.3412402360238927,7.620268689846634e-07,0.7536304425705671,6.183735911466367e-38,0.22868547691999225,0.001125566648624343
study_3,binary_llama,binary_elaborated,median,200,0.3521768209719882,0.4131483930267928,1.201884644207685e-09,0.10877258510265254,0.12522971926542445,0.3121406373157453,6.808056577132557e-06,0.6976018678784651,1.7308916661218415e-30,0.2292206215362853,0.001094905726124099
study_3,binary_deepseek,binary_elaborated,median,200,0.3664618707286399,0.42036586596918357,5.750478143621584e-10,0.10171608194368531,0.15180470725716871,0.3374604001501872,1.0259001648180917e-06,0.7143235306608332,1.5990516852708288e-32,0.2584434749193104,0.0002198808026001868
