Item,Loading
Bold,0.9911217327531066
Energetic,0.9815560090958333
Extraverted,0.9948507431415579
Talkative,0.9775855233416015
Bashful,0.9526012210839997
Quiet,0.982939172477386
Shy,0.9765201102779278
Withdrawn,0.9755990381347891
Cooperative,0.9148411516487289
Kind,0.9835993280840781
Sympathetic,0.9535543009391049
Warm,0.9176845573499772
Cold,0.9580075380876247
Harsh,0.906015611684678
Rude,0.8083927421658634
Unsympathetic,0.8153810612372029
Efficient,0.9882184325603613
Organized,0.9906904544442766
Practical,0.8414107595429691
Systematic,0.9730696607637521
Careless,0.9949432838233742
Disorganized,0.9931065881091411
Inefficient,0.9883392576402628
Sloppy,0.9666782842859253
Envious,0.7111965754863192
Fretful,0.9919625589341591
Jealous,0.6911339522401226
Moody,0.989990144055601
Temperamental,0.9878882209431875
Touchy,0.989408083867377
Relaxed,0.9572604082743345
Unenvious,0.5709222031219722
Complex,0.8712706584325384
Creative,0.9656110507442219
Deep,0.9038958921538134
Imaginative,0.9662458720213142
Intellectual,0.9310725997821769
Philosophical,0.903960627007435
Uncreative,0.9208018259550017
Unintellectual,0.8214972304289577
