Item,Loading
Bold,0.737019376311567
Energetic,0.5794285583127383
Extraverted,0.9003307144975723
Talkative,0.8185830348489779
Bashful,0.864669554257168
Quiet,0.8831389500937197
Shy,0.89485414327579
Withdrawn,0.9923857645306872
Cooperative,0.8027758647351056
Kind,0.9637211649338809
Sympathetic,0.9121926484001469
Warm,0.9395155523812552
Cold,0.8549995229824666
Harsh,0.6827718479320182
Rude,0.47330543394346597
Unsympathetic,0.8966571842105355
Efficient,0.5946840985551145
Organized,0.9689664617880323
Practical,0.7684662816701807
Systematic,0.9426887359225452
Careless,0.5263896693104918
Disorganized,0.9587031252627155
Inefficient,0.7128618960621529
Sloppy,0.8579489665132919
Envious,0.9570531351249575
Fretful,0.2274230627365519
Jealous,0.9660961200309234
Moody,0.20811362757413668
Temperamental,0.2963571715440188
Touchy,0.4972031333793098
Relaxed,0.07830878170678272
Unenvious,0.8888097089866659
Complex,0.7345480830345291
Creative,0.4535132727737367
Deep,0.7771740266521407
Imaginative,0.38610968887691444
Intellectual,0.9984596598669684
Philosophical,0.9593832685209828
Uncreative,0.36365077219166825
Unintellectual,0.8867027478256235
