simulated_e,simulated_a,simulated_c,simulated_n,simulated_o,model,temperature
7.25,8.3,5.75,6.0,5.666666666666667,deepseek,1.0
5.625,5.4,4.875,4.2,6.111111111111111,deepseek,1.0
2.25,7.2,6.75,5.0,7.777777777777778,deepseek,1.0
4.75,7.0,3.375,5.2,7.444444444444445,deepseek,1.0
4.75,6.8,8.375,4.2,5.666666666666667,deepseek,1.0
5.125,7.7,7.125,5.6,6.888888888888889,deepseek,1.0
8.375,7.1,7.5,5.8,8.11111111111111,deepseek,1.0
8.75,6.9,7.0,6.6,8.222222222222221,deepseek,1.0
7.375,6.1,7.75,4.8,3.2222222222222223,deepseek,1.0
5.25,6.2,4.875,4.2,6.555555555555555,deepseek,1.0
2.75,7.7,4.875,2.2,8.444444444444445,deepseek,1.0
9.0,6.9,8.75,8.6,7.333333333333333,deepseek,1.0
1.25,5.1,7.625,5.8,6.222222222222222,deepseek,1.0
5.0,7.0,6.75,5.8,7.444444444444445,deepseek,1.0
5.625,8.0,6.125,2.8,8.0,deepseek,1.0
7.125,4.9,7.125,6.8,7.333333333333333,deepseek,1.0
7.625,8.1,6.25,3.8,4.555555555555555,deepseek,1.0
7.125,6.5,5.75,5.4,7.555555555555555,deepseek,1.0
3.5,6.5,5.25,6.6,7.333333333333333,deepseek,1.0
6.875,6.5,4.125,2.6,6.888888888888889,deepseek,1.0
6.0,5.5,5.875,3.4,7.333333333333333,deepseek,1.0
5.0,7.5,7.375,7.0,7.444444444444445,deepseek,1.0
7.25,7.6,5.875,4.4,7.666666666666667,deepseek,1.0
7.5,4.3,7.375,4.2,7.333333333333333,deepseek,1.0
2.75,7.2,5.625,6.4,7.0,deepseek,1.0
7.125,5.2,6.375,4.0,5.777777777777778,deepseek,1.0
3.75,6.3,2.75,3.4,4.777777777777778,deepseek,1.0
7.375,6.6,6.875,2.4,5.333333333333333,deepseek,1.0
3.375,4.8,6.125,5.2,6.222222222222222,deepseek,1.0
4.5,8.7,5.25,7.4,6.666666666666667,deepseek,1.0
8.0,8.1,5.875,5.8,5.0,deepseek,0.0
5.75,5.5,4.875,4.4,6.0,deepseek,0.0
2.25,6.9,6.625,5.4,7.666666666666667,deepseek,0.0
6.875,6.8,3.5,5.8,7.333333333333333,deepseek,0.0
5.0,6.5,8.25,4.2,5.777777777777778,deepseek,0.0
5.125,7.7,6.875,5.8,6.555555555555555,deepseek,0.0
8.75,6.4,7.75,5.8,8.444444444444445,deepseek,0.0
8.25,6.8,6.625,6.6,8.0,deepseek,0.0
7.375,6.3,7.75,5.0,3.3333333333333335,deepseek,0.0
5.0,6.6,5.125,4.4,6.555555555555555,deepseek,0.0
2.5,8.2,4.625,2.4,8.777777777777779,deepseek,0.0
9.0,5.3,8.75,8.6,7.222222222222222,deepseek,0.0
1.25,5.9,7.625,5.8,6.555555555555555,deepseek,0.0
4.875,6.7,6.75,5.8,7.444444444444445,deepseek,0.0
6.125,7.9,6.25,3.4,7.555555555555555,deepseek,0.0
7.25,4.6,7.125,7.0,7.555555555555555,deepseek,0.0
8.125,6.3,5.75,4.0,4.444444444444445,deepseek,0.0
6.875,6.4,6.125,5.4,7.0,deepseek,0.0
3.5,6.2,5.25,6.8,7.333333333333333,deepseek,0.0
7.375,6.9,4.0,2.4,7.333333333333333,deepseek,0.0
7.0,6.2,6.625,3.8,7.555555555555555,deepseek,0.0
5.25,6.7,7.125,6.6,7.0,deepseek,0.0
8.375,7.9,5.875,4.8,8.222222222222221,deepseek,0.0
8.125,4.5,7.25,4.6,7.666666666666667,deepseek,0.0
2.75,7.1,5.875,6.6,6.777777777777778,deepseek,0.0
7.125,5.4,6.5,4.0,5.555555555555555,deepseek,0.0
4.0,6.3,2.75,3.4,4.777777777777778,deepseek,0.0
7.0,6.2,6.75,2.6,5.888888888888889,deepseek,0.0
3.5,5.1,6.375,5.6,6.333333333333333,deepseek,0.0
4.5,8.3,5.375,7.4,6.777777777777778,deepseek,0.0
