model,format,mean,std,count
binary_deepseek,binary_elaborated,0.5490149084723616,,1
binary_deepseek,binary_simple,0.539608645546163,,1
binary_gpt_4,binary_elaborated,0.5504770590578145,,1
binary_gpt_4,binary_simple,0.5493440707109687,,1
binary_gpt_4o,binary_elaborated,0.5552205346534649,,1
binary_gpt_4o,binary_simple,0.5465811849728415,,1
binary_llama,binary_elaborated,0.5332437156006902,,1
binary_llama,binary_simple,0.5299550343315035,,1
binary_openai_gpt_3.5_turbo_0125,binary_elaborated,0.43437885881856164,,1
binary_openai_gpt_3.5_turbo_0125,binary_simple,0.4074092118734324,,1
deepseek,expanded,0.8839946268966854,,1
deepseek,likert,0.8807154585938222,,1
gpt_4,expanded,0.8486716097317478,,1
gpt_4,likert,0.8391837571334111,,1
gpt_4o,expanded,0.9011306525856941,,1
gpt_4o,likert,0.8984689427370263,,1
llama,expanded,0.8936825607332954,,1
llama,likert,0.8934333197274367,,1
openai_gpt_3.5_turbo_0125,expanded,0.7657123246623259,,1
openai_gpt_3.5_turbo_0125,likert,0.7137961451368581,,1
